coin_value_eur;timestamp
5662.8;1533827030843
5652.2;1533827134184
5650;1533827237845
5630.5;1533827341840
5633.7;1533827445654
5630.5;1533827550639
5630.9;1533827654642
5625;1533827758331
5628.5;1533827862045
5629.9;1533827965977
5628;1533828069835
5623.3;1533828173987
5605.6;1533828279928
5611;1533828383588
5604.8;1533828487242
5605;1533828592127
5605;1533828696490
5605;1533828799768
5612.4;1533828903994
5617.8;1533829012510
5615.3;1533829116330
5619.7;1533829219835
5600;1533829326843
5598;1533829431191
5591.4;1533829537159
5597.3;1533829643843
5570.3;1533829858870
5579;1533829963961
5579;1533830067838
5572.8;1533830171704
5572.6;1533830275515
5580;1533830379646
5584.8;1533830483448
5590;1533830700996
5583.8;1533830805994
5581.3;1533830911839
5588;1533831019775
5590;1533831125510
5595.3;1533831229330
5597.3;1533831333780
5611;1533831441628
5602.4;1533831545243
5604;1533831650243
5601.9;1533831754634
5599.1;1533831970105
5589.3;1533832074463
5593.1;1533832179164
5599.1;1533832285957
5599.9;1533832389729
5600;1533832497563
5600;1533832601021
5620.5;1533832707119
5612.7;1533832810641
5616.4;1533832914842
5616;1533833026434
5618.3;1533833129773
5619.1;1533833233772
5613.1;1533833338336
5608.9;1533833446718
5599.1;1533833551148
5598.8;1533833657051
5598.8;1533833760820
5598.8;1533833864679
5598;1533833975301
5596;1533834078683
5597.2;1533834183339
5599.3;1533834288165
5599.8;1533834392206
5599.7;1533834495647
5599.9;1533834599366
5596;1533834704947
5593.3;1533834810086
5592.2;1533834913658
5592.7;1533835017520
5592.2;1533835121673
5589.6;1533835239852
5587.7;1533835344224
5589.1;1533835448082
5587.5;1533835552849
5590.5;1533835656190
5608.6;1533835759936
5609.2;1533835863980
5615;1533835967336
5614.1;1533836072194
5600.5;1533836175557
5609.6;1533836281100
5614.8;1533836384547
5612.9;1533836489473
5613.9;1533836593446
5613;1533836698180
5629;1533836802856
5618.1;1533836907039
5617;1533837010981
5626.2;1533837115643
5619.9;1533837225269
5604.7;1533837329586
5618.6;1533837434573
5617.1;1533837538462
5612;1533837643856
5616.9;1533837747848
5614.8;1533837853511
5614.9;1533837957521
5616.8;1533838063706
5605;1533838173155
5600.9;1533838276556
5606.4;1533838380724
5601;1533838484655
5601.1;1533838588456
5610.8;1533838695502
5608.9;1533838800246
5606.7;1533838904986
5606.6;1533839008331
5609.9;1533839111678
5611.4;1533839215751
5620.7;1533839320190
5611.5;1533839424879
5614.9;1533839529056
5614.5;1533839632459
5606.5;1533839738056
5605.5;1533839842337
5611.8;1533839946259
5611;1533840053151
5611;1533840157324
5602.9;1533840260918
5605.9;1533840364922
5609.9;1533840468421
5615;1533840573401
5617.7;1533840677180
5616.5;1533840782369
5615.4;1533840885804
5616.8;1533840989147
5613;1533841093585
5613.2;1533841197454
5620;1533841302729
5622.5;1533841407249
5623.4;1533841511145
5630.1;1533841615596
5643.8;1533841721337
5644.5;1533841825097
5653.1;1533841929980
5654.4;1533842034189
5651;1533842137990
5635.2;1533842241977
5633.5;1533842345857
5640.5;1533842449240
5629.8;1533842556062
5628.1;1533842659378
5614.3;1533842772577
5613.2;1533842877151
5614.1;1533842981898
5614.3;1533843085149
5609.6;1533843191403
5611.4;1533843295209
5612.4;1533843399250
5612.6;1533843504227
5600;1533843611612
5607.1;1533843715886
5607.1;1533843820441
5608.1;1533843924657
5614;1533844028436
5614;1533844131796
5600;1533844236254
5614;1533844340784
5614;1533844445514
5614.4;1533844548942
5618.2;1533844654124
5619;1533844759168
5609.3;1533844862514
5612.7;1533844966804
5616.6;1533845070185
5621.2;1533845174792
5620;1533845280471
5619.9;1533845385065
5620;1533845489996
5631.1;1533845595268
5631;1533845699167
5634.2;1533845804239
5634.2;1533845908693
5630.5;1533846014340
5630.5;1533846122347
5630.5;1533846229247
5630.5;1533846334512
5638;1533846439067
5638;1533846551005
5636.4;1533846655344
5635.9;1533846762077
5634.9;1533846865757
5635;1533846969869
5634.9;1533847073762
5635;1533847178659
5635.7;1533847282948
5642.6;1533847387145
5650;1533847491143
5648.2;1533847595330
5637.8;1533847699154
5640.6;1533847802942
5653.6;1533847908154
5648.8;1533848011808
5650.1;1533848118544
5648;1533848222729
5649.9;1533848326979
5657.6;1533848431149
5676;1533848535106
5714.2;1533848638889
5721.7;1533848742980
5707.2;1533848851762
5703.1;1533848956401
5708.7;1533849060220
5711.6;1533849165279
5711.8;1533849269794
5710.6;1533849374548
5721.2;1533849477645
5727.1;1533849581501
5723.4;1533849695647
5723;1533849802762
5721.6;1533849907330
5727.1;1533850014906
5726;1533850121481
5726.5;1533850228946
5726;1533850335327
5728.2;1533850439329
5729.9;1533850545076
5749.6;1533850650983
5749.9;1533850754166
5735.4;1533850858572
5728.6;1533850962224
5715;1533851066492
5711.4;1533851173332
5702.9;1533851279493
5708.5;1533851383837
5705.7;1533851487977
5711.2;1533851592476
5717.6;1533851700163
5722.7;1533851805640
5723.2;1533851910644
5721.4;1533852015779
5721.4;1533852121015
5720.7;1533852224676
5711.2;1533852329345
5712.9;1533852436646
5712.7;1533852545883
5709;1533852649944
5712.7;1533852757498
5712.7;1533852862002
5715;1533852965681
5714.8;1533853069880
5720;1533853177481
5725.9;1533853283006
5732.3;1533853387237
5728.5;1533853491456
5727.8;1533853596953
5726.2;1533853701084
5726.3;1533853804588
5727.2;1533853907974
5730;1533854015335
5723.1;1533854119634
5724.7;1533854223881
5724.6;1533854330289
5723.2;1533854435752
5724.5;1533854539480
5725.3;1533854646329
5730.1;1533854750079
5733.2;1533854854764
5725.1;1533854958144
5738.8;1533855061883
5725.9;1533855165643
5726.5;1533855272532
5730;1533855377588
5726.4;1533855482271
5729.9;1533855587480
5727.4;1533855691352
5725;1533855795878
5724.2;1533855903329
5722.1;1533856006700
5722.1;1533856111899
5712.2;1533856215648
5718.5;1533856322081
5718.4;1533856426426
5721.7;1533856540454
5718.7;1533856645279
5710.1;1533856749096
5708.3;1533856855118
5708.4;1533856960481
5705;1533857066643
5705;1533857169975
5703;1533857277391
5685.2;1533857381186
5690.4;1533857485086
5690.2;1533857590860
5690.7;1533857697875
5688.6;1533857800756
5680.9;1533857905483
5689;1533858010557
5690;1533858115681
5690;1533858221330
5690;1533858336079
5693.5;1533858441417
5688.4;1533858667564
5680.5;1533858771649
5678.2;1533858874975
5675.4;1533858978329
5666.5;1533859085813
5673.8;1533859193286
5688.7;1533859299168
5686;1533859409583
5691.6;1533859513683
5692.6;1533859617480
5694.9;1533859722508
5694.1;1533859826450
5694;1533859930166
5692.3;1533860034975
5700;1533860138406
5706.6;1533860242880
5706.3;1533860346556
5706.2;1533860462081
5701.1;1533860567382
5701;1533860671996
5701.1;1533860778480
5701.1;1533860884328
5701.7;1533860987679
5701.9;1533861091607
5701.9;1533861198284
5702.5;1533861302132
5704.1;1533861407758
5704;1533861511900
5702.3;1533861616483
5702.3;1533861720685
5702.3;1533861824546
5690.4;1533861929977
5700.7;1533862034483
5713.5;1533862138210
5712.4;1533862244077
5715.1;1533862347328
5710;1533862450979
5710;1533862554837
5705.7;1533862661944
5704.9;1533862767190
5704.9;1533862871087
5695.4;1533862975832
5695.4;1533863079562
5695.3;1533863185484
5695;1533863290389
5688.9;1533863395812
5689.1;1533863499980
5691.2;1533863605882
5695.4;1533863714129
5697.1;1533863817946
5696.7;1533863921847
5689.7;1533864027628
5695.9;1533864130816
5689.8;1533864234810
5674.3;1533864339095
5680.1;1533864442943
5679.5;1533864548500
5682.5;1533864653500
5680;1533864757613
5671.4;1533864864220
